Id,Name,Mime type,Score,Deleted at,Library reference,Url,Checked on,AlternativeText:2,Contrast:2,HeadingsHigherLevel:3,HeadingsPresence:2,HeadingsSequential:3,HeadingsStartAtOne:3,HtmlBrokenLink:2,HtmlCaption:2,HtmlColorContrast:2,HtmlDefinitionList:3,HtmlEmptyHeading:2,HtmlEmptyTableHeader:2,HtmlHasLang:3,HtmlHeadingOrder:3,HtmlHeadingsPresence:2,HtmlHeadingsStart:2,HtmlImageAlt:2,HtmlImageRedundantAlt:3,HtmlLabel:2,HtmlLinkName:3,HtmlList:3,HtmlObjectAlt:2,HtmlTdHasHeader:2,HtmlTitle:3,ImageContrast:2,ImageDecorative:2,ImageDescription:2,ImageOcr:3,ImageSeizure:1,LanguageCorrect:3,LanguagePresence:3,Ocred:2,Parsable:1,Scanned:1,Security:1,TableHeaders:2,Tagged:2,Title:3
BpzfVa1uz13XuTjG6OujNsYXnR/MXWHEADc4Eesw2VA=,Search-Committee-Chief-University-of-Connecticut-Police-Department.pdf,application/pdf,0.9905,2/18/2024 19:25,,,11/24/2020 4:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LvfRVdylBDkj2n0dBh/txuGySqibwZPPnKm/OWizHCs=,Search-Committee-Chief-University-of-Connecticut-Police-Department.pdf,application/pdf,0.9905,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Search-Committee-Chief-University-of-Connecticut-Police-Department.pdf,11/24/2020 4:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T25SeR4bkIrWG+gaNMXhsdwX5IpHl/RMtVHEp1g7qks=,Sexual-Assault-Task-Force_March-2022.pdf,application/pdf,0.337375,2/18/2024 19:01,,,4/1/2022 20:19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o0TLYMDUeJVT3Rm4W3wX7peJLfKnbpsTxBFGrt+PIrw=,Sexual-Assault-Task-Force_March-2022.pdf,application/pdf,0.337375,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Sexual-Assault-Task-Force_March-2022.pdf,4/1/2022 20:19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sqKK52HMmHaakDsGrwL7Ut3G4bmhQBu69+6EZqB8ySM=,Slides-for-all-Recordings-FY25-FY30-Budget-1.pdf,application/pdf,0.567057797,,,https://president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/Slides-for-all-Recordings-FY25-FY30-Budget-1.pdf,2/25/2024 21:24,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
K1hvP1npsW34mFaUw595J6MFJKYy/HlY8TLc1rP3xyE=,Slides-for-all-Recordings-FY25-FY30-Budget.pdf,application/pdf,0.560972676,2/25/2024 21:24,,,2/18/2024 19:17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
+uicgcnwAM9f0ayOiUhcxDfqgnTzwJpsMF7jUl5cojs=,Spring-2021.pdf,application/pdf,0.9905,2/18/2024 19:12,,,1/26/2021 19:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WndoOaUnQTcnBjWNq5T4pr4gQrIsCohduTLrD3BZvJg=,Spring-2021.pdf,application/pdf,0.9905,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Spring-2021.pdf,1/26/2021 19:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
trwC5QirpbczK5FLVU6LbYkQjuefjk5a2wMuOeuBHjY=,SpringWeekend_41910.pdf,application/pdf,0.069,2/18/2024 19:16,,,3/15/2022 11:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
jha8tENS5NVRhmo2eARrV9uiLBQX4Qfe00R4wzusw0Q=,SpringWeekend_41910.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/SpringWeekend_41910.pdf,3/15/2022 11:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
oTB0Iqz5f7alQ2DkjcqUJoOEnMYGz8eT5wBfwL4t45U=,Staff | Office of the President,application/x-page,0.998181818,,,https://president.uconn.edu/staff/,5/6/2024 4:25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VW85ry6GxuxSrwXA4oPfdg6tbqkqYve/u7B+J6pHvtI=,Statement-on-the-U.S.-Supreme-Courts-Dobbs-v.-Jackson-Ruling-Reproductive-Healthcare-at-UConn-Health.pdf,application/pdf,0.9905,2/18/2024 19:23,,,7/14/2022 13:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tfsGMd0aQB8TUxElBhLMFZ8rzHNWtGIhldzlkFC1Mjg=,Statement-on-the-U.S.-Supreme-Courts-Dobbs-v.-Jackson-Ruling-Reproductive-Healthcare-at-UConn-Health.pdf,application/pdf,1,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Statement-on-the-U.S.-Supreme-Courts-Dobbs-v.-Jackson-Ruling-Reproductive-Healthcare-at-UConn-Health.pdf,3/18/2024 12:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gP2XXwRQrQ5LAW/fJWuJn7sDQ5tPuHq4/7WMs1/GvUI=,Student-Feedback-For-the-SA-Advocacy-Committee-1-002.pdf,application/pdf,0.069,2/18/2024 19:12,,,5/6/2022 21:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FFtB3qY+HfzRYg4lTI6ESYCDjwIAAqUVIxnSC+0MmzU=,Student-Feedback-For-the-SA-Advocacy-Committee-1-002.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Student-Feedback-For-the-SA-Advocacy-Committee-1-002.pdf,5/6/2022 21:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
j20zP450XQPEp/k14S+QLvKzYHz0+jqL623xxgjAZGo=,Student-Health-and-Wellness.pdf,application/pdf,0.513339575,2/18/2024 19:15,,,5/6/2022 21:20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7MNfXp0v3al+GDsd9GYZZ7RIwUgLGPw/lH8pHhzh/2Q=,Student-Health-and-Wellness.pdf,application/pdf,0.513339575,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Student-Health-and-Wellness.pdf,5/6/2022 21:20,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fZyMVv9bvvbqAcezxKkmO3Yl0n0K8OxjiMM33Xdh2aM=,Successfully-Weathering-Adversity.pdf,application/pdf,0.05,2/18/2024 19:16,,,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
JhbKglmeQz+HIS4Qdx3UTs+V0NNuBvyu91V1OF6bSdk=,Successfully-Weathering-Adversity.pdf,application/pdf,0.05,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Successfully-Weathering-Adversity.pdf,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VUV0FPP+K3a37OmOWXcQB4Kf0q18W2Cxw5cT/Rdojg4=,Susan Locke | Office of the President,application/x-page,1,,,https://president.uconn.edu/person/susan-locke/,5/6/2024 4:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fjpFa7SnVHbVPWEdpE7ps3Ur+ZpknhPz7bKYjT8Oo1k=,Sustainability-Letter-President-85.pdf,application/pdf,0.069,2/18/2024 19:26,,,5/9/2023 9:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
EBx9sKI/Xs5GIHtmGpq5i/OIe1vINFUzei1FJUpnqxI=,Sustainability-Letter-President-85.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Sustainability-Letter-President-85.pdf,5/9/2023 9:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
PnqANi/3R0zIs/vYWneF2Bt+fm6Z9xG3mfDiXobcvxg=,Sustainability-and-the-Environment-Working-Group.pdf,application/pdf,0.981,2/18/2024 19:01,,,12/11/2019 8:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oK+yj5TUPpPQ6f3FfwDXMi7XT7IYcU2ObyK7nF6nV84=,Sustainability-and-the-Environment-Working-Group.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Sustainability-and-the-Environment-Working-Group.pdf,12/11/2019 8:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1jg3rFl0Q1vjB2vlUPow0uJrdsF1w1SKRwT9ZM4Ss5w=,Task-Force-for-Combating-Sexual-Violence-Report-2022-1.pdf,application/pdf,0.262734306,2/18/2024 19:16,,,8/7/2022 12:40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
05jYTOT2R5PefaKisnuLptbcUjXaUb2gsAGhla60xzE=,Task-Force-for-Combating-Sexual-Violence-Report-2022-1.pdf,application/pdf,0.953345888,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Task-Force-for-Combating-Sexual-Violence-Report-2022-1.pdf,3/25/2024 15:15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pfhAB30xoZ6g/UYmVrLFeRQGBmP3kZCmoeTYSqSVkKE=,Title-IX-process.pdf,application/pdf,0.526403104,2/18/2024 19:12,,,3/15/2022 11:34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4jdTv1zGAxPQIYeS7jg5QHvHTnWhUkoif8R97IPnq6k=,Title-IX-process.pdf,application/pdf,0.526403104,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Title-IX-process.pdf,3/15/2022 11:34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7y0iwhwU/C4Lk9n+8b2kraM4+dhcKMPKBiFqcuHaOCE=,To the University Community on Visual Identity | Office of the President,application/x-page,1,,,https://president.uconn.edu/communications/to-the-university-community-on-visual-identity/,4/28/2024 22:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61sUWV+ptXYr4m5cTS0sl2gHKaMwulnMaX81xsVln4c=,To-the-UConn-Community.pdf,application/pdf,0.981,2/18/2024 19:15,,,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
qaIVd+s6xi/DbJvdGE60WXmNjcJxrb95mayrSVV8vUE=,To-the-UConn-Community.pdf,application/pdf,0.981,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/To-the-UConn-Community.pdf,6/6/2020 17:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kqzITXyK1dwDsioYnpak1nv1TdFYVr8ne+IUxNSgwQY=,Together-Call-for-Proposals.pdf,application/pdf,0.069,2/18/2024 19:15,,,9/14/2018 0:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
mJ4Oxt5FAoEqPbcfls5D8/GGZwA5l6P/jQa0fDfw04w=,Together-Call-for-Proposals.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Together-Call-for-Proposals.pdf,9/14/2018 0:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
+qTCdn5xjbX+eCUExn7EzqDMm5X85piwW4d8WBu3mdw=,TomK-letter-re-Manfredonia.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0.5261875,2/18/2024 19:13,,,6/6/2020 17:16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K+/rUcgKTpUMxG3/8A8yIh93CApAhdCIPTrlzmMwO9U=,TomK-letter-re-Manfredonia.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0.5261875,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/TomK-letter-re-Manfredonia.docx,6/6/2020 17:16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aLcfsjecllqC7Og2g82PcR1IiPoHWcuGnMWeSsqftMk=,UCHC_Bill_050410.pdf,application/pdf,0.069,2/18/2024 19:14,,,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
qcpK1X42wH/b7m3Flyth7g37rVJSaYnfKI5q1cL76N0=,UCHC_Bill_050410.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/UCHC_Bill_050410.pdf,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
