Id,Name,Mime type,Score,Deleted at,Library reference,Url,Checked on,AlternativeText:2,Contrast:2,HeadingsHigherLevel:3,HeadingsPresence:2,HeadingsSequential:3,HeadingsStartAtOne:3,HtmlBrokenLink:2,HtmlCaption:2,HtmlColorContrast:2,HtmlDefinitionList:3,HtmlEmptyHeading:2,HtmlEmptyTableHeader:2,HtmlHasLang:3,HtmlHeadingOrder:3,HtmlHeadingsPresence:2,HtmlHeadingsStart:2,HtmlImageAlt:2,HtmlImageRedundantAlt:3,HtmlLabel:2,HtmlLinkName:3,HtmlList:3,HtmlObjectAlt:2,HtmlTdHasHeader:2,HtmlTitle:3,ImageContrast:2,ImageDecorative:2,ImageDescription:2,ImageOcr:3,ImageSeizure:1,LanguageCorrect:3,LanguagePresence:3,Ocred:2,Parsable:1,Scanned:1,Security:1,TableHeaders:2,Tagged:2,Title:3
QzDB69ivWdlf3d9ifBKgUr3DgOjVxid9+beJg+bMmlA=,1.-Protect-Our-Pack-Task-Force-Presentation.pdf,application/pdf,0.5361625,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/1.-Protect-Our-Pack-Task-Force-Presentation.pdf,4/1/2022 20:16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zs7oY7soJ8b672uM9UdwQGLBjAge2Ni8G9whlvfC/90=,1211081.pdf,application/pdf,0.1165,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/1211081.pdf,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TVdFVnj+QbZjYFjVib9AqJWlSZOlb7eokZ8y+1hMttE=,2.-Womens-Center-Presidents-Taskforce-Presentation.pdf,application/pdf,0.596798525,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2.-Womens-Center-Presidents-Taskforce-Presentation.pdf,4/1/2022 20:17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/eTqo4QW8iX8o0IDJtouEAZRtTdAH5FC6kpCCW1/rYE=,2008-Charitable-Campaign.pdf,application/pdf,0.078055,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2008-Charitable-Campaign.pdf,3/15/2022 11:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
v6CWpvA3IN4rR5ioAR1NU07la0z+2dr4UBzb+n5D3Sg=,2013-01-17-SH-Sexual-Assault-Letter.pdf,application/pdf,0.0,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2013-01-17-SH-Sexual-Assault-Letter.pdf,3/15/2022 11:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3WSYfoqlqd8GOeAZiK98YzGeYNiaWdq9jsExXkt6D+Q=,2013-04-26-SH-Statement-on-Student-Freedom-of-Expression.pdf,application/pdf,0.0,,,https://president.media.uconn.edu/wp-content/uploads/sites/2794/2019/05/2013-04-26-SH-Statement-on-Student-Freedom-of-Expression.pdf,12/24/2023 20:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
vvRisqL6j/tMJMlYiAsIXtEih1CNqplPB7MqQnOD2LI=,2014-02-07-Civility-Task-Force-Message-to-Campus-signed.pdf,application/pdf,0.505132564,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-02-07-Civility-Task-Force-Message-to-Campus-signed.pdf,3/15/2022 11:33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mlVWlG9yV1hFbOvxY8tWVvDlrmSMOZJH/o3lZtWSqVU=,2014-06-UConn-Ombuds-Charter-Amended.pdf,application/pdf,0.069,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-06-UConn-Ombuds-Charter-Amended.pdf,3/15/2022 11:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
/O515ynxYvvRDURAWeEQPNj1XcsAasqU8XF9a4QcmD4=,2014-09-25-Letter-to-SFS.pdf,application/pdf,0.0,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-09-25-Letter-to-SFS.pdf,3/15/2022 11:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
uLhPQINx6sMhgvIHCtClYbzBs/HE1uvRmK5i533DoNM=,2014-10-16-SH-State-of-the-University-FINAL.pdf,application/pdf,0.5171625,,,https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-10-16-SH-State-of-the-University-FINAL.pdf,3/15/2022 11:34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
